iter	Passed	Remaining
0	25	25805
1	48	24433
2	69	22991
3	89	22216
4	110	21969
5	132	21871
6	153	21710
7	173	21548
8	194	21444
9	218	21677
10	243	21851
11	264	21771
12	288	21880
13	310	21841
14	333	21892
15	355	21878
16	379	21918
17	402	21936
18	425	21970
19	451	22115
20	475	22171
21	500	22248
22	523	22239
23	545	22190
24	568	22169
25	590	22104
26	613	22106
27	635	22048
28	655	21963
29	678	21941
30	698	21842
31	718	21744
32	742	21751
33	763	21688
34	787	21706
35	809	21682
36	832	21664
37	854	21636
38	876	21587
39	900	21601
40	926	21664
41	949	21648
42	971	21626
43	994	21614
44	1016	21569
45	1037	21514
46	1058	21472
47	1082	21459
48	1102	21402
49	1124	21367
50	1145	21312
51	1166	21270
52	1188	21227
53	1206	21141
54	1229	21129
55	1251	21096
56	1272	21044
57	1293	21013
58	1315	20986
59	1337	20947
60	1358	20904
61	1379	20865
62	1401	20838
63	1424	20826
64	1444	20772
65	1467	20773
66	1490	20756
67	1510	20705
68	1534	20700
69	1558	20707
70	1579	20666
71	1601	20635
72	1624	20629
73	1648	20623
74	1672	20627
75	1696	20624
76	1721	20633
77	1743	20609
78	1769	20630
79	1794	20639
80	1816	20612
81	1842	20626
82	1863	20583
83	1889	20600
84	1912	20582
85	1935	20574
86	1957	20543
87	1978	20503
88	2000	20479
89	2019	20418
90	2040	20383
91	2059	20327
92	2080	20288
93	2099	20231
94	2119	20191
95	2140	20155
96	2160	20108
97	2180	20066
98	2202	20043
99	2223	20011
100	2245	19986
101	2268	19970
102	2291	19954
103	2311	19914
104	2331	19877
105	2353	19845
106	2370	19784
107	2391	19748
108	2411	19712
109	2432	19679
110	2455	19663
111	2474	19615
112	2495	19586
113	2515	19547
114	2537	19527
115	2556	19485
116	2575	19439
117	2595	19401
118	2617	19379
119	2637	19343
120	2657	19304
121	2680	19288
122	2701	19265
123	2724	19249
124	2745	19218
125	2764	19173
126	2782	19128
127	2803	19100
128	2823	19064
129	2846	19052
130	2869	19031
131	2890	19010
132	2912	18985
133	2936	18976
134	2956	18945
135	2975	18904
136	2995	18872
137	3017	18850
138	3039	18825
139	3058	18786
140	3079	18760
141	3101	18741
142	3122	18712
143	3143	18683
144	3165	18665
145	3184	18625
146	3206	18604
147	3226	18575
148	3249	18558
149	3268	18521
150	3288	18487
151	3308	18458
152	3327	18420
153	3347	18391
154	3370	18374
155	3392	18356
156	3411	18318
157	3432	18294
158	3452	18262
159	3471	18226
160	3491	18192
161	3511	18165
162	3531	18131
163	3550	18098
164	3571	18074
165	3592	18046
166	3611	18013
167	3632	17989
168	3651	17953
169	3670	17920
170	3690	17890
171	3709	17858
172	3730	17832
173	3751	17809
174	3770	17774
175	3788	17739
176	3810	17717
177	3829	17686
178	3850	17661
179	3872	17641
180	3894	17620
181	3915	17600
182	3935	17567
183	3954	17537
184	3973	17504
185	3995	17486
186	4018	17469
187	4037	17440
188	4058	17416
189	4077	17382
190	4098	17361
191	4117	17327
192	4137	17301
193	4155	17266
194	4177	17244
195	4196	17215
196	4217	17190
197	4234	17152
198	4256	17132
199	4277	17109
200	4296	17079
201	4319	17063
202	4339	17037
203	4361	17017
204	4378	16981
205	4398	16952
206	4419	16930
207	4440	16908
208	4461	16886
209	4483	16865
210	4501	16831
211	4521	16807
212	4543	16786
213	4564	16763
214	4584	16739
215	4602	16706
216	4625	16689
217	4645	16662
218	4662	16627
219	4685	16613
220	4705	16587
221	4728	16570
222	4746	16539
223	4766	16511
224	4787	16490
225	4810	16475
226	4832	16456
227	4852	16431
228	4872	16405
229	4894	16386
230	4915	16362
231	4937	16343
232	4958	16323
233	4980	16305
234	5003	16286
235	5024	16264
236	5042	16235
237	5063	16212
238	5083	16184
239	5103	16161
240	5123	16134
241	5141	16105
242	5161	16078
243	5180	16049
244	5199	16023
245	5219	15998
246	5238	15968
247	5257	15942
248	5276	15915
249	5297	15892
250	5316	15864
251	5337	15843
252	5359	15824
253	5380	15803
254	5402	15782
255	5424	15764
256	5447	15749
257	5470	15734
258	5492	15715
259	5510	15683
260	5532	15664
261	5552	15639
262	5573	15618
263	5593	15593
264	5615	15575
265	5635	15551
266	5656	15529
267	5675	15502
268	5694	15475
269	5716	15455
270	5738	15436
271	5757	15409
272	5776	15383
273	5796	15358
274	5817	15336
275	5836	15310
276	5858	15291
277	5877	15264
278	5897	15241
279	5918	15218
280	5938	15193
281	5959	15173
282	5981	15155
283	5999	15126
284	6021	15107
285	6042	15085
286	6063	15062
287	6081	15035
288	6103	15014
289	6125	14997
290	6146	14974
291	6165	14948
292	6183	14921
293	6205	14901
294	6224	14876
295	6243	14849
296	6265	14829
297	6284	14804
298	6304	14781
299	6325	14760
300	6345	14736
301	6367	14717
302	6390	14699
303	6410	14677
304	6434	14661
305	6456	14643
306	6479	14626
307	6497	14599
308	6517	14574
309	6536	14548
310	6555	14522
311	6578	14507
312	6597	14480
313	6615	14453
314	6635	14429
315	6657	14410
316	6677	14387
317	6697	14363
318	6718	14341
319	6738	14319
320	6756	14291
321	6775	14266
322	6794	14241
323	6813	14216
324	6834	14194
325	6854	14172
326	6876	14152
327	6895	14126
328	6915	14103
329	6934	14078
330	6954	14056
331	6974	14033
332	6996	14013
333	7014	13987
334	7036	13967
335	7054	13940
336	7077	13924
337	7098	13902
338	7121	13886
339	7142	13864
340	7160	13838
341	7178	13811
342	7200	13791
343	7220	13770
344	7239	13743
345	7262	13726
346	7281	13702
347	7301	13679
348	7323	13660
349	7346	13642
